"Age","Race.Sex","Year","Survival","SurvivalP","Deaths","qx"
" 25","All Female","1950",95583,0.95583,650,0.0068003725
" 30","All Female","1950",94933,0.94933,727,0.0076580325
" 35","All Female","1950",94206,0.94206,1105,0.0117296138
" 40","All Female","1950",93101,0.93101,1632,0.0175293498
" 45","All Female","1950",91469,0.91469,2394,0.0261728017
" 50","All Female","1950",89075,0.89075,3381,0.037956778
" 55","All Female","1950",85694,0.85694,4804,0.0560599342
" 60","All Female","1950",80890,0.8089,6771,0.0837062678
" 65","All Female","1950",74119,0.74119,9246,0.124745342
" 70","All Female","1950",64873,0.64873,12762,0.1967228277
" 75","All Female","1950",52111,0.52111,15625,0.2998407246
" 80","All Female","1950",36486,0.36486,15818,0.4335361509
" 85","All Female","1950",20668,0.20668,12120,0.5864137798
" 90","All Female","1950",8548,0.08548,6341,0.7418109499
" 95","All Female","1950",2207,0.02207,1909,0.8649750793
"100","All Female","1950",298,0.00298,298,1
"  0","White All","1950",1e+05,1,2722,0.02722
"  1","White All","1950",97278,0.97278,488,0.0050165505
"  5","White All","1950",96790,0.9679,288,0.002975514
" 10","White All","1950",96502,0.96502,274,0.0028393194
" 15","White All","1950",96228,0.96228,465,0.0048322734
" 20","White All","1950",95763,0.95763,594,0.0062028132
" 25","White All","1950",95169,0.95169,633,0.0066513255
" 30","White All","1950",94536,0.94536,786,0.008314293
" 35","White All","1950",93750,0.9375,1134,0.012096
" 40","White All","1950",92616,0.92616,1769,0.0191003714
" 45","White All","1950",90847,0.90847,2737,0.0301275771
" 50","White All","1950",88110,0.8811,4083,0.0463398025
" 55","White All","1950",84027,0.84027,5961,0.0709414831
" 60","White All","1950",78066,0.78066,8216,0.1052442805
" 65","White All","1950",69850,0.6985,10661,0.152627058
" 70","White All","1950",59189,0.59189,13501,0.2280998158
" 75","White All","1950",45688,0.45688,15250,0.3337856768
" 80","White All","1950",30438,0.30438,14199,0.4664892568
" 85","White All","1950",16239,0.16239,10038,0.6181415112
" 90","White All","1950",6201,0.06201,4701,0.7581035317
" 95","White All","1950",1500,0.015,1304,0.8693333333
"100","White All","1950",196,0.00196,196,1
"  0","White Male","1950",1e+05,1,3069,0.03069
"  1","White Male","1950",96931,0.96931,528,0.0054471738
"  5","White Male","1950",96403,0.96403,334,0.0034646225
" 10","White Male","1950",96069,0.96069,341,0.0035495321
" 15","White Male","1950",95728,0.95728,624,0.006518469
" 20","White Male","1950",95104,0.95104,810,0.0085169919
" 25","White Male","1950",94294,0.94294,805,0.0085371286
" 30","White Male","1950",93489,0.93489,946,0.0101188375
" 35","White Male","1950",92543,0.92543,1370,0.014803929
" 40","White Male","1950",91173,0.91173,2171,0.0238118741
" 45","White Male","1950",89002,0.89002,3401,0.0382126244
" 50","White Male","1950",85601,0.85601,5105,0.0596371538
" 55","White Male","1950",80496,0.80496,7324,0.0909858875
" 60","White Male","1950",73172,0.73172,9631,0.1316213852
" 65","White Male","1950",63541,0.63541,11806,0.1858012937
" 70","White Male","1950",51735,0.51735,13631,0.2634773364
" 75","White Male","1950",38104,0.38104,14099,0.3700136469
" 80","White Male","1950",24005,0.24005,11990,0.4994792752
" 85","White Male","1950",12015,0.12015,7806,0.6496878901
" 90","White Male","1950",4209,0.04209,3267,0.7761938703
" 95","White Male","1950",942,0.00942,824,0.8747346072
"100","White Male","1950",118,0.00118,118,1
"  0","White Female","1950",1e+05,1,2355,0.02355
"  1","White Female","1950",97645,0.97645,446,0.0045675662
"  5","White Female","1950",97199,0.97199,239,0.002458873
" 10","White Female","1950",96960,0.9696,204,0.0021039604
" 15","White Female","1950",96756,0.96756,302,0.0031212535
" 20","White Female","1950",96454,0.96454,382,0.0039604371
" 25","White Female","1950",96072,0.96072,467,0.0048609376
" 30","White Female","1950",95605,0.95605,628,0.0065686941
" 35","White Female","1950",94977,0.94977,897,0.0094443918
" 40","White Female","1950",94080,0.9408,1355,0.0144026361
" 45","White Female","1950",92725,0.92725,2040,0.0220005392
" 50","White Female","1950",90685,0.90685,2986,0.0329271655
" 55","White Female","1950",87699,0.87699,4420,0.0503996625
" 60","White Female","1950",83279,0.83279,6506,0.0781229362
" 65","White Female","1950",76773,0.76773,9228,0.1201985073
" 70","White Female","1950",67545,0.67545,13148,0.1946554149
" 75","White Female","1950",54397,0.54397,16371,0.3009540967
" 80","White Female","1950",38026,0.38026,16678,0.4385946458
" 85","White Female","1950",21348,0.21348,12686,0.5942477047
" 90","White Female","1950",8662,0.08662,6462,0.7460170861
" 95","White Female","1950",2200,0.022,1906,0.8663636364
"100","White Female","1950",294,0.00294,294,1
"  0","African American All","1950",1e+05,1,4593,0.04593
"  1","African American All","1950",95407,0.95407,925,0.0096953054
"  5","African American All","1950",94482,0.94482,422,0.0044664592
" 10","African American All","1950",94060,0.9406,414,0.0044014459
" 15","African American All","1950",93646,0.93646,908,0.0096960895
" 20","African American All","1950",92738,0.92738,1417,0.0152796049
" 25","African American All","1950",91321,0.91321,1737,0.0190208167
" 30","African American All","1950",89584,0.89584,2182,0.024357028
" 35","African American All","1950",87402,0.87402,2924,0.033454612
" 40","African American All","1950",84478,0.84478,3971,0.0470063212
" 45","African American All","1950",80507,0.80507,5531,0.0687021004
" 50","African American All","1950",74976,0.74976,7316,0.0975778916
" 55","African American All","1950",67660,0.6766,9067,0.1340082767
" 60","African American All","1950",58593,0.58593,9944,0.1697131057
" 65","African American All","1950",48649,0.48649,10033,0.2062323994
" 70","African American All","1950",38616,0.38616,9648,0.249844624
" 75","African American All","1950",28968,0.28968,8965,0.3094794256
" 80","African American All","1950",20003,0.20003,7570,0.3784432335
" 85","African American All","1950",12433,0.12433,6039,0.4857234778
" 90","African American All","1950",6394,0.06394,4384,0.6856427901
" 95","African American All","1950",2010,0.0201,1709,0.8502487562
"100","African American All","1950",301,0.00301,301,1
"  0","African American Male","1950",1e+05,1,5089,0.05089
"  1","African American Male","1950",94911,0.94911,990,0.0104308247
"  5","African American Male","1950",93921,0.93921,468,0.0049829112
" 10","African American Male","1950",93453,0.93453,488,0.0052218762
" 15","African American Male","1950",92965,0.92965,1024,0.0110148981
" 20","African American Male","1950",91941,0.91941,1656,0.0180115509
" 25","African American Male","1950",90285,0.90285,1958,0.0216868804
" 30","African American Male","1950",88327,0.88327,2387,0.0270245791
" 35","African American Male","1950",85940,0.8594,3108,0.0361647661
" 40","African American Male","1950",82832,0.82832,4146,0.0500531196
" 45","African American Male","1950",78686,0.78686,5795,0.0736471545
" 50","African American Male","1950",72891,0.72891,7769,0.1065838032
" 55","African American Male","1950",65122,0.65122,9587,0.1472159946
" 60","African American Male","1950",55535,0.55535,10337,0.1861348699
" 65","African American Male","1950",45198,0.45198,10180,0.2252312049
" 70","African American Male","1950",35018,0.35018,9546,0.2726026615
" 75","African American Male","1950",25472,0.25472,8568,0.3363693467
" 80","African American Male","1950",16904,0.16904,7006,0.4144581164
" 85","African American Male","1950",9898,0.09898,5256,0.5310163669
" 90","African American Male","1950",4642,0.04642,3300,0.7109004739
" 95","African American Male","1950",1342,0.01342,1150,0.8569299553
"100","African American Male","1950",192,0.00192,192,1
"  0","African American Female","1950",1e+05,1,4087,0.04087
"  1","African American Female","1950",95913,0.95913,858,0.008945607
"  5","African American Female","1950",95055,0.95055,376,0.0039556046
" 10","African American Female","1950",94679,0.94679,336,0.0035488334
" 15","African American Female","1950",94343,0.94343,799,0.0084690968
" 20","African American Female","1950",93544,0.93544,1208,0.0129137091
" 25","African American Female","1950",92336,0.92336,1537,0.0166457286
" 30","African American Female","1950",90799,0.90799,1994,0.0219605943
" 35","African American Female","1950",88805,0.88805,2753,0.0310005067
" 40","African American Female","1950",86052,0.86052,3795,0.0441012411
" 45","African American Female","1950",82257,0.82257,5250,0.0638243554
" 50","African American Female","1950",77007,0.77007,6811,0.0884465049
" 55","African American Female","1950",70196,0.70196,8438,0.1202062796
" 60","African American Female","1950",61758,0.61758,9400,0.1522070015
" 65","African American Female","1950",52358,0.52358,9746,0.1861415638
" 70","African American Female","1950",42612,0.42612,9631,0.2260161457
" 75","African American Female","1950",32981,0.32981,9269,0.2810405991
" 80","African American Female","1950",23712,0.23712,8162,0.3442139001
" 85","African American Female","1950",15550,0.1555,6960,0.4475884244
" 90","African American Female","1950",8590,0.0859,5715,0.6653084983
" 95","African American Female","1950",2875,0.02875,2430,0.8452173913
"100","African American Female","1950",445,0.00445,445,1
"  0","All","1940",1e+05,1,4710,0.0471
"  1","All","1940",95290,0.9529,1070,0.0112288803
"  5","All","1940",94220,0.9422,510,0.0054128635
" 10","All","1940",93710,0.9371,475,0.0050688294
" 15","All","1940",93235,0.93235,800,0.0085804687
" 20","All","1940",92435,0.92435,1100,0.0119002542
" 25","All","1940",91335,0.91335,1257,0.0137625226
" 30","All","1940",90078,0.90078,1505,0.0167077422
" 35","All","1940",88573,0.88573,1923,0.0217109051
" 40","All","1940",86650,0.8665,2581,0.0297864974
" 45","All","1940",84069,0.84069,3582,0.0426078578
" 50","All","1940",80487,0.80487,4930,0.0612521277
" 55","All","1940",75557,0.75557,6633,0.0877880276
" 60","All","1940",68924,0.68924,8558,0.1241657478
" 65","All","1940",60366,0.60366,10711,0.1774343173
" 70","All","1940",49655,0.49655,12920,0.2601953479
" 75","All","1940",36735,0.36735,13852,0.3770790799
" 80","All","1940",22883,0.22883,11810,0.5161036577
" 85","All","1940",11073,0.11073,7277,0.6571841416
" 90","All","1940",3796,0.03796,2939,0.7742360379
" 95","All","1940",857,0.00857,734,0.8564760793
"100","All","1940",123,0.00123,123,1
"  0","All Male","1940",1e+05,1,5238,0.05238
"  1","All Male","1940",94762,0.94762,1138,0.0120090332
"  5","All Male","1940",93624,0.93624,570,0.0060881825
" 10","All Male","1940",93054,0.93054,546,0.0058675608
" 15","All Male","1940",92508,0.92508,891,0.0096315994
" 20","All Male","1940",91617,0.91617,1232,0.013447286
" 25","All Male","1940",90385,0.90385,1376,0.015223765
" 30","All Male","1940",89009,0.89009,1638,0.0184026334
" 35","All Male","1940",87371,0.87371,2125,0.0243215712
" 40","All Male","1940",85246,0.85246,2910,0.0341364991
" 45","All Male","1940",82336,0.82336,4082,0.0495773416
" 50","All Male","1940",78254,0.78254,5627,0.0719068674
" 55","All Male","1940",72627,0.72627,7485,0.1030608451
" 60","All Male","1940",65142,0.65142,9366,0.1437782076
" 65","All Male","1940",55776,0.55776,11188,0.2005880666
" 70","All Male","1940",44588,0.44588,12724,0.2853682605
" 75","All Male","1940",31864,0.31864,12869,0.403872709
" 80","All Male","1940",18995,0.18995,10302,0.5423532509
" 85","All Male","1940",8693,0.08693,5906,0.6793972162
" 90","All Male","1940",2787,0.02787,2201,0.7897380696
" 95","All Male","1940",586,0.00586,508,0.866894198
"100","All Male","1940",78,0.00078,78,1
"  0","All Female","1940",1e+05,1,4152,0.04152
"  1","All Female","1940",95848,0.95848,1000,0.0104331859
"  5","All Female","1940",94848,0.94848,446,0.0047022605
" 10","All Female","1940",94402,0.94402,402,0.0042583844
" 15","All Female","1940",94000,0.94,707,0.0075212766
" 20","All Female","1940",93293,0.93293,971,0.0104080692
" 25","All Female","1940",92322,0.92322,1140,0.012348086
" 30","All Female","1940",91182,0.91182,1372,0.0150468294
" 35","All Female","1940",89810,0.8981,1718,0.0191292729
" 40","All Female","1940",88092,0.88092,2236,0.0253825546
" 45","All Female","1940",85856,0.85856,3028,0.0352683563
" 50","All Female","1940",82828,0.82828,4120,0.0497416333
" 55","All Female","1940",78708,0.78708,5615,0.0713396351
" 60","All Female","1940",73093,0.73093,7570,0.103566689
" 65","All Female","1940",65523,0.65523,10074,0.153747539
" 70","All Female","1940",55449,0.55449,13024,0.2348825046
" 75","All Female","1940",42425,0.42425,14901,0.3512315852
" 80","All Female","1940",27524,0.27524,13552,0.492370295
" 85","All Female","1940",13972,0.13972,8928,0.6389922703
" 90","All Female","1940",5044,0.05044,3849,0.7630848533
" 95","All Female","1940",1195,0.01195,1016,0.850209205
"100","All Female","1940",179,0.00179,179,1
"  0","White All","1940",1e+05,1,4315,0.04315
"  1","White All","1940",95685,0.95685,972,0.010158332
"  5","White All","1940",94713,0.94713,485,0.0051207332
" 10","White All","1940",94228,0.94228,436,0.0046270748
" 15","White All","1940",93792,0.93792,675,0.0071967758
" 20","White All","1940",93117,0.93117,904,0.0097082165
" 25","White All","1940",92213,0.92213,1028,0.0111481028
" 30","White All","1940",91185,0.91185,1244,0.0136425947
" 35","White All","1940",89941,0.89941,1623,0.0180451629
" 40","White All","1940",88318,0.88318,2249,0.0254647977
" 45","White All","1940",86069,0.86069,3236,0.0375977413
" 50","White All","1940",82833,0.82833,4615,0.0557145099
" 55","White All","1940",78218,0.78218,6433,0.0822444962
" 60","White All","1940",71785,0.71785,8584,0.1195792993
" 65","White All","1940",63201,0.63201,11036,0.1746174902
" 70","White All","1940",52165,0.52165,13555,0.2598485575
" 75","White All","1940",38610,0.3861,14634,0.379020979
" 80","White All","1940",23976,0.23976,12493,0.5210627294
" 85","White All","1940",11483,0.11483,7664,0.6674214056
" 90","White All","1940",3819,0.03819,3018,0.7902592302
" 95","White All","1940",801,0.00801,703,0.8776529338
"100","White All","1940",98,0.00098,98,1
"  0","White Male","1940",1e+05,1,4812,0.04812
"  1","White Male","1940",95188,0.95188,1038,0.0109047359
"  5","White Male","1940",94150,0.9415,549,0.0058311206
" 10","White Male","1940",93601,0.93601,512,0.005470027
" 15","White Male","1940",93089,0.93089,796,0.0085509566
" 20","White Male","1940",92293,0.92293,1052,0.0113984809
" 25","White Male","1940",91241,0.91241,1149,0.0125930229
" 30","White Male","1940",90092,0.90092,1379,0.0153065755
" 35","White Male","1940",88713,0.88713,1833,0.0206621352
" 40","White Male","1940",86880,0.8688,2595,0.0298687845
" 45","White Male","1940",84285,0.84285,3764,0.0446580056
" 50","White Male","1940",80521,0.80521,5365,0.0666285814
" 55","White Male","1940",75156,0.75156,7369,0.0980493906
" 60","White Male","1940",67787,0.67787,9482,0.1398793279
" 65","White Male","1940",58305,0.58305,11566,0.1983706372
" 70","White Male","1940",46739,0.46739,13335,0.285307773
" 75","White Male","1940",33404,0.33404,13544,0.4054604239
" 80","White Male","1940",19860,0.1986,10847,0.5461732125
" 85","White Male","1940",9013,0.09013,6201,0.6880062132
" 90","White Male","1940",2812,0.02812,2260,0.8036984353
" 95","White Male","1940",552,0.00552,487,0.8822463768
"100","White Male","1940",65,0.00065,65,1
"  0","White Female","1940",1e+05,1,3789,0.03789
"  1","White Female","1940",96211,0.96211,902,0.0093752274
"  5","White Female","1940",95309,0.95309,419,0.004396227
" 10","White Female","1940",94890,0.9489,356,0.0037517125
" 15","White Female","1940",94534,0.94534,550,0.0058180126
" 20","White Female","1940",93984,0.93984,756,0.0080439224
" 25","White Female","1940",93228,0.93228,908,0.0097395632
" 30","White Female","1940",92320,0.9232,1109,0.012012565
" 35","White Female","1940",91211,0.91211,1406,0.0154148074
" 40","White Female","1940",89805,0.89805,1885,0.0209899226
" 45","White Female","1940",87920,0.8792,2653,0.0301751592
" 50","White Female","1940",85267,0.85267,3747,0.0439443161
" 55","White Female","1940",81520,0.8152,5320,0.0652600589
" 60","White Female","1940",76200,0.762,7499,0.0984120735
" 65","White Female","1940",68701,0.68701,10338,0.150478159
" 70","White Female","1940",58363,0.58363,13678,0.2343608108
" 75","White Female","1940",44685,0.44685,15803,0.3536533512
" 80","White Female","1940",28882,0.28882,14395,0.4984073125
" 85","White Female","1940",14487,0.14487,9426,0.650652309
" 90","White Female","1940",5061,0.05061,3952,0.7808733452
" 95","White Female","1940",1109,0.01109,970,0.8746618575
"100","White Female","1940",139,0.00139,139,1
"  0","African American All","1940",1e+05,1,7416,0.07416
"  1","African American All","1940",92584,0.92584,1601,0.0172924047
"  5","African American All","1940",90983,0.90983,644,0.0070782454
" 10","African American All","1940",90339,0.90339,748,0.0082799234
" 15","African American All","1940",89591,0.89591,1752,0.0195555357
" 20","African American All","1940",87839,0.87839,2629,0.0299297579
" 25","African American All","1940",85210,0.8521,3016,0.0353949067
" 30","African American All","1940",82194,0.82194,3511,0.0427160133
" 35","African American All","1940",78683,0.78683,4217,0.0535948045
" 40","African American All","1940",74466,0.74466,5182,0.0695888056
" 45","African American All","1940",69284,0.69284,6582,0.0950002887
" 50","African American All","1940",62702,0.62702,7856,0.1252910593
" 55","African American All","1940",54846,0.54846,8528,0.1554899172
" 60","African American All","1940",46318,0.46318,8480,0.1830821711
" 65","African American All","1940",37838,0.37838,8184,0.2162905016
" 70","African American All","1940",29654,0.29654,7856,0.2649221016
" 75","African American All","1940",21798,0.21798,7390,0.3390219286
" 80","African American All","1940",14408,0.14408,6082,0.4221265963
" 85","African American All","1940",8326,0.08326,4249,0.5103290896
" 90","African American All","1940",4077,0.04077,2520,0.6181015453
" 95","African American All","1940",1557,0.01557,1158,0.7437379576
"100","African American All","1940",399,0.00399,399,1
"  0","African American Male","1940",1e+05,1,8228,0.08228
"  1","African American Male","1940",91772,0.91772,1690,0.0184152029
"  5","African American Male","1940",90082,0.90082,689,0.0076485868
" 10","African American Male","1940",89393,0.89393,783,0.0087590751
" 15","African American Male","1940",88610,0.8861,1642,0.0185306399
" 20","African American Male","1940",86968,0.86968,2741,0.0315173397
" 25","African American Male","1940",84227,0.84227,3248,0.0385624562
" 30","African American Male","1940",80979,0.80979,3758,0.0464070932
" 35","African American Male","1940",77221,0.77221,4441,0.0575102628
" 40","African American Male","1940",72780,0.7278,5434,0.0746633691
" 45","African American Male","1940",67346,0.67346,6851,0.1017283877
" 50","African American Male","1940",60495,0.60495,8069,0.1333829242
" 55","African American Male","1940",52426,0.52426,8593,0.1639072216
" 60","African American Male","1940",43833,0.43833,8462,0.1930508977
" 65","African American Male","1940",35371,0.35371,8135,0.2299906703
" 70","African American Male","1940",27236,0.27236,7780,0.2856513438
" 75","African American Male","1940",19456,0.19456,7270,0.3736636513
" 80","African American Male","1940",12186,0.12186,5742,0.4711964549
" 85","African American Male","1940",6444,0.06444,3608,0.5599006828
" 90","African American Male","1940",2836,0.02836,1875,0.6611424542
" 95","African American Male","1940",961,0.00961,752,0.7825182102
"100","African American Male","1940",209,0.00209,209,1
"  0","African American Female","1940",1e+05,1,6584,0.06584
"  1","African American Female","1940",93416,0.93416,1510,0.0161642545
"  5","African American Female","1940",91906,0.91906,598,0.0065066481
" 10","African American Female","1940",91308,0.91308,714,0.0078196872
" 15","African American Female","1940",90594,0.90594,1858,0.0205090845
" 20","African American Female","1940",88736,0.88736,2538,0.0286016949
" 25","African American Female","1940",86198,0.86198,2814,0.032645769
" 30","African American Female","1940",83384,0.83384,3292,0.0394799962
" 35","African American Female","1940",80092,0.80092,4008,0.0500424512
" 40","African American Female","1940",76084,0.76084,4927,0.0647573734
" 45","African American Female","1940",71157,0.71157,6272,0.0881431201
" 50","African American Female","1940",64885,0.64885,7571,0.1166833629
" 55","African American Female","1940",57314,0.57314,8386,0.1463167812
" 60","African American Female","1940",48928,0.48928,8424,0.1721713538
" 65","African American Female","1940",40504,0.40504,8150,0.2012146948
" 70","African American Female","1940",32354,0.32354,7852,0.2426902392
" 75","African American Female","1940",24502,0.24502,7463,0.3045873806
" 80","African American Female","1940",17039,0.17039,6417,0.3766066084
" 85","African American Female","1940",10622,0.10622,4970,0.4678968179
" 90","African American Female","1940",5652,0.05652,3307,0.5851026185
" 95","African American Female","1940",2345,0.02345,1686,0.7189765458
"100","African American Female","1940",659,0.00659,659,1
"  0","All","1930",1e+05,1,5972,0.05972
"  1","All","1930",94028,0.94028,2050,0.0218020164
"  5","All","1930",91978,0.91978,872,0.009480528
" 10","All","1930",91106,0.91106,721,0.0079138586
" 15","All","1930",90385,0.90385,1296,0.0143386624
" 20","All","1930",89089,0.89089,1820,0.0204290092
" 25","All","1930",87269,0.87269,1967,0.0225395043
" 30","All","1930",85302,0.85302,2184,0.0256031512
" 35","All","1930",83118,0.83118,2561,0.0308116172
" 40","All","1930",80557,0.80557,3214,0.0398972156
" 45","All","1930",77343,0.77343,4022,0.0520021204
" 50","All","1930",73321,0.73321,5139,0.0700890604
" 55","All","1930",68182,0.68182,6619,0.0970784078
" 60","All","1930",61563,0.61563,8368,0.1359257996
" 65","All","1930",53195,0.53195,10427,0.196014663
" 70","All","1930",42768,0.42768,11979,0.2800925926
" 75","All","1930",30789,0.30789,12209,0.3965377245
" 80","All","1930",18580,0.1858,10038,0.5402583423
" 85","All","1930",8542,0.08542,5544,0.6490283306
" 90","All","1930",2998,0.02998,2362,0.7878585724
" 95","All","1930",636,0.00636,574,0.9025157233
"100","All","1930",62,0.00062,62,1
"  0","All Male","1930",1e+05,1,6560,0.0656
"  1","All Male","1930",93440,0.9344,2146,0.0229666096
"  5","All Male","1930",91294,0.91294,948,0.010384034
" 10","All Male","1930",90346,0.90346,785,0.0086888185
" 15","All Male","1930",89561,0.89561,1341,0.0149730351
" 20","All Male","1930",88220,0.8822,1861,0.0210949898
" 25","All Male","1930",86359,0.86359,2013,0.0233096724
" 30","All Male","1930",84346,0.84346,2271,0.0269248097
" 35","All Male","1930",82075,0.82075,2718,0.0331160524
" 40","All Male","1930",79357,0.79357,3475,0.0437894578
" 45","All Male","1930",75882,0.75882,4364,0.057510345
" 50","All Male","1930",71518,0.71518,5537,0.0774210688
" 55","All Male","1930",65981,0.65981,7072,0.1071823707
" 60","All Male","1930",58909,0.58909,8755,0.1486190565
" 65","All Male","1930",50154,0.50154,10638,0.2121067113
" 70","All Male","1930",39516,0.39516,11798,0.2985626076
" 75","All Male","1930",27718,0.27718,11546,0.4165524208
" 80","All Male","1930",16172,0.16172,9065,0.5605367302
" 85","All Male","1930",7107,0.07107,4824,0.6787674124
" 90","All Male","1930",2283,0.02283,1832,0.8024529128
" 95","All Male","1930",451,0.00451,411,0.911308204
"100","All Male","1930",40,4e-04,40,1
"  0","All Female","1930",1e+05,1,5272,0.05272
"  1","All Female","1930",94728,0.94728,1939,0.0204691327
"  5","All Female","1930",92789,0.92789,781,0.008416946
" 10","All Female","1930",92008,0.92008,644,0.0069993914
" 15","All Female","1930",91364,0.91364,1248,0.0136596471
" 20","All Female","1930",90116,0.90116,1788,0.0198410937
" 25","All Female","1930",88328,0.88328,1930,0.0218503759
" 30","All Female","1930",86398,0.86398,2094,0.0242366721
" 35","All Female","1930",84304,0.84304,2377,0.0281955779
" 40","All Female","1930",81927,0.81927,2886,0.0352264821
" 45","All Female","1930",79041,0.79041,3585,0.0453562075
" 50","All Female","1930",75456,0.75456,4624,0.0612807464
" 55","All Female","1930",70832,0.70832,6037,0.0852298396
" 60","All Female","1930",64795,0.64795,7871,0.1214754225
" 65","All Female","1930",56924,0.56924,10150,0.1783079193
" 70","All Female","1930",46774,0.46774,12174,0.2602728011
" 75","All Female","1930",34600,0.346,13022,0.3763583815
" 80","All Female","1930",21578,0.21578,11256,0.5216424136
" 85","All Female","1930",10322,0.10322,6666,0.6458050765
" 90","All Female","1930",3656,0.03656,2849,0.7792669584
" 95","All Female","1930",807,0.00807,725,0.8983890954
"100","All Female","1930",82,0.00082,82,1
"  0","White All","1930",1e+05,1,5608,0.05608
"  1","White All","1930",94392,0.94392,1926,0.0204042715
"  5","White All","1930",92466,0.92466,839,0.0090736054
" 10","White All","1930",91627,0.91627,645,0.0070394098
" 15","White All","1930",90982,0.90982,1049,0.0115297531
" 20","White All","1930",89933,0.89933,1479,0.0164455762
" 25","White All","1930",88454,0.88454,1618,0.0182919936
" 30","White All","1930",86836,0.86836,1832,0.0210972408
" 35","White All","1930",85004,0.85004,2201,0.0258928992
" 40","White All","1930",82803,0.82803,2814,0.0339842759
" 45","White All","1930",79989,0.79989,3649,0.0456187726
" 50","White All","1930",76340,0.7634,4789,0.0627325124
" 55","White All","1930",71551,0.71551,6451,0.0901594667
" 60","White All","1930",65100,0.651,8445,0.1297235023
" 65","White All","1930",56655,0.56655,10814,0.1908745918
" 70","White All","1930",45841,0.45841,12435,0.2712637159
" 75","White All","1930",33406,0.33406,13146,0.3935221218
" 80","White All","1930",20260,0.2026,10935,0.539733465
" 85","White All","1930",9325,0.09325,6259,0.6712064343
" 90","White All","1930",3066,0.03066,2430,0.7925636008
" 95","White All","1930",636,0.00636,578,0.9088050314
"100","White All","1930",58,0.00058,58,1
"  0","White Male","1930",1e+05,1,6232,0.06232
"  1","White Male","1930",93768,0.93768,2030,0.0216491767
"  5","White Male","1930",91738,0.91738,928,0.0101157645
" 10","White Male","1930",90810,0.9081,736,0.0081048343
" 15","White Male","1930",90074,0.90074,1170,0.0129893199
" 20","White Male","1930",88904,0.88904,1533,0.0172433186
" 25","White Male","1930",87371,0.87371,1664,0.019045221
" 30","White Male","1930",85707,0.85707,1895,0.0221102127
" 35","White Male","1930",83812,0.83812,2355,0.0280986016
" 40","White Male","1930",81457,0.81457,3112,0.0382042059
" 45","White Male","1930",78345,0.78345,4057,0.0517837769
" 50","White Male","1930",74288,0.74288,5307,0.0714381865
" 55","White Male","1930",68981,0.68981,7048,0.1021730621
" 60","White Male","1930",61933,0.61933,8969,0.144817787
" 65","White Male","1930",52964,0.52964,11084,0.209274224
" 70","White Male","1930",41880,0.4188,12409,0.2962989494
" 75","White Male","1930",29471,0.29471,12250,0.415662855
" 80","White Male","1930",17221,0.17221,9649,0.5603042797
" 85","White Male","1930",7572,0.07572,5216,0.6888536714
" 90","White Male","1930",2356,0.02356,1895,0.8043293718
" 95","White Male","1930",461,0.00461,421,0.9132321041
"100","White Male","1930",40,4e-04,40,1
"  0","White Female","1930",1e+05,1,4963,0.04963
"  1","White Female","1930",95037,0.95037,1821,0.0191609584
"  5","White Female","1930",93216,0.93216,750,0.008045829
" 10","White Female","1930",92466,0.92466,572,0.0061860576
" 15","White Female","1930",91894,0.91894,955,0.0103924086
" 20","White Female","1930",90939,0.90939,1415,0.0155598808
" 25","White Female","1930",89524,0.89524,1552,0.0173361333
" 30","White Female","1930",87972,0.87972,1724,0.0195971445
" 35","White Female","1930",86248,0.86248,1992,0.0230961877
" 40","White Female","1930",84256,0.84256,2476,0.0293866312
" 45","White Female","1930",81780,0.8178,3208,0.0392271949
" 50","White Female","1930",78572,0.78572,4251,0.0541032429
" 55","White Female","1930",74321,0.74321,5859,0.0788337078
" 60","White Female","1930",68462,0.68462,7963,0.116312699
" 65","White Female","1930",60499,0.60499,10567,0.174664044
" 70","White Female","1930",49932,0.49932,12908,0.2585115757
" 75","White Female","1930",37024,0.37024,13971,0.3773498271
" 80","White Female","1930",23053,0.23053,12116,0.5255715091
" 85","White Female","1930",10937,0.10937,7218,0.6599615982
" 90","White Female","1930",3719,0.03719,2922,0.7856950793
" 95","White Female","1930",797,0.00797,723,0.9071518193
"100","White Female","1930",74,0.00074,74,1
"  0","African American All","1930",1e+05,1,7965,0.07965
"  1","African American All","1930",92035,0.92035,2732,0.0296843592
"  5","African American All","1930",89303,0.89303,1045,0.0117017345
" 10","African American All","1930",88258,0.88258,1102,0.0124861202
" 15","African American All","1930",87156,0.87156,2770,0.0317820919
" 20","African American All","1930",84386,0.84386,4066,0.0481833479
" 25","African American All","1930",80320,0.8032,4358,0.0542579681
" 30","African American All","1930",75962,0.75962,4821,0.0634659435
" 35","African American All","1930",71141,0.71141,5167,0.07263041
" 40","African American All","1930",65974,0.65974,6147,0.0931730682
" 45","African American All","1930",59827,0.59827,6686,0.1117555619
" 50","African American All","1930",53141,0.53141,7583,0.1426958469
" 55","African American All","1930",45558,0.45558,7904,0.1734931296
" 60","African American All","1930",37654,0.37654,7639,0.2028735327
" 65","African American All","1930",30015,0.30015,7510,0.2502082292
" 70","African American All","1930",22505,0.22505,6959,0.3092201733
" 75","African American All","1930",15546,0.15546,5957,0.3831853853
" 80","African American All","1930",9589,0.09589,4689,0.48899781
" 85","African American All","1930",4900,0.049,2856,0.5828571429
